Symbol,Trend,Last Stand,Angle,Stop Sell,Stop Buy
STMXUSDT,SELL,0.008562,-0.00011581557774510238,26.86288250408783,-8.899789768745626
BOMEUSDT,SELL,0.0094665,-0.00012081490322369167,36.32282258490467,-7.04061691226957
AMPUSDT,SELL,0.0070834999999999995,-0.00012099947375196754,28.156984541540197,-1.0799745888331942
RSRUSDT,SELL,0.0063035,-0.00014481024952897004,42.39708098675338,-4.814785436662171
DGBUSDT,SELL,0.01257,-0.00014728170238553372,24.900556881463796,-5.727923627684965
PONDUSDT,SELL,0.0247,-0.0001493245373196327,21.417004048582992,-7.854251012145752
AMBUSDT,SELL,0.0094,-0.0001705016877028638,43.40425531914894,-5.531914893617017
KEYUSDT,SELL,0.00672,-0.00018742476951489113,47.61904761904761,-3.273809523809532
JASMYUSDT,SELL,0.018815,-0.00019183068343793579,30.64044645229871,-10.236513420143488
QIUSDT,SELL,0.01832,-0.00019992268510844963,26.582969432314407,-1.2554585152838484
LINAUSDT,SELL,0.0091445,-0.0002255897595817476,41.9760511783039,-1.3505385750997905
IOSTUSDT,SELL,0.010235000000000001,-0.0002376470196212247,34.342940889105996,-7.083536883243788
ONEUSDT,SELL,0.021605,-0.00023924915411159398,24.924785929183063,-5.345984725757925
QKCUSDT,SELL,0.012056,-0.0002399113243323583,24.47743861977437,-0.04976775049768411
FORUSDT,SELL,0.020885,-0.00025387215547072666,23.389992817811827,-0.11970313622217245
TLMUSDT,SELL,0.016919999999999998,-0.0002820783762991643,39.007092198581574,-0.4137115839243331
TRXUSDT,SELL,0.11396,-0.00029085622460498444,7.335907335907328,-0.4914004914004957
BEAMXUSDT,SELL,0.0254845,-0.00033114155215787283,26.221821106947363,-9.749063156036025
RVNUSDT,SELL,0.031855,-0.00035770888214364734,30.152252393658753,-7.2045204834405965
ACHUSDT,SELL,0.026735000000000002,-0.0004168149604953495,31.101552272302207,-10.230035533944273
PEOPLEUSDT,SELL,0.02554,-0.0004604035888860591,41.934220830070466,-10.062646828504304
CKBUSDT,SELL,0.0254895,-0.00046338863857859513,31.787598815198415,-1.3319209870731068
FIOUSDT,SELL,0.03813,-0.0004693650874543765,25.885129819040134,-0.34093889325989557
